Name,Description
Pippinzip,"Pippinzip is a square-board connection game for two players.  This is the 'Pipline' variant, the standard version of the game.  The game starts with a chicken ballot phase similar to Unlur, in which players both place 1-3 Black stones per turn until one decides to pass their turn and take Black.  Subsequently, the players place one stone per turn of their colour on any empty point.  The Black player ('Pip') wins if they connect any two sides of the board with a single orthogonally-connected group of stones.  The White player ('Zip') wins if they connect all four sides of the board with a single group connected both orthogonally and diagonally."
"Pippinzip (Zipline variant)","Pippinzip is a square-board connection game for two players.  This is the 'Zipline' variant, and these rules are 'Freestyle', where there are no restrictions on the placement of Black's stones.  The game starts with a chicken ballot phase similar to Unlur, in which players both place 1-3 White stones per turn until one decides to pass their turn and take White.  Subsequently, White places one stone per turn, and Black places two stones per turn.  The Black player ('Pip') wins if they connect any two sides of the board with a single orthogonally-connected group of stones.  The White player ('Zip') wins if they connect all four sides of the board with a single group connected both orthogonally and diagonally."
Sakko,"Sakko is a board game that was played in Svalbard in the nineteenth century."
Riga,"Riga is a capturing game played in seventeenth century Sicily."
Sfenj,"Sfenj is a capturing game played by the Tungusic people of Northern Asia. It was played with a set of pieces similar to Chess, but the Kings were colored red."
Chandaraki,"Chandaraki is a game with replacement captures played in Tibet since the eighteenth century. This version was reported in 1775."
Pente,"Pente was invented by Gary Gabriel in 1983, and was inspired by Ninuki-Renju.  In Pente, players compete to be the first to form an orthogonal or diagonal line of five stones, or to capture ten opposing stones.  Pente does not have the complex opening protocol or specific positional restrictions of Ninuki-Renju.  The first player has a strong advantage, but the Pro Pente opening variation gives Black more even winning chances."
Keryo-Pente,"Keryo-Pente was invented by Rollie Tesh in 1983, as an alternative way to mitigate the first-player advantage in Pente.  As in Pente, players compete to be the first to form an orthogonal or diagonal line of five stones.  However, in Keryo-Pente players may capture two or three opposing stones rather than only two; the threshold to win the game by capture also increases from 10 to 15 stones.  This variation reduces the first-player advantage by significantly increasing the second player's defensive options."
Adzua,"Adzua is a game played by men of the Jukun people in Nigeria. "
Scachs,"Scachs is the word for Chess in Catalan. This version of the game is described in the fifteenth century poem Hobra jutitulada scachs damor fela per don franci de Castelui e narcis vinyoles e mossen fenollar sots nom de tres panetas ço es Març venus e Mercuri per conjunccio e influencia dela quals fon inuentada. The poem describes the courtship of Venus and Mars through a game of Scachs played between them, observed by Mercury."
"Adzua (Children)","Adzua is a word used for several games by the Jukun people of Nigeria. This version is an alignment game played by children."
Tsatsarandi,"Tsatsarandi is a capturing game that was played by the Kanuri people of Nigeria. Very few people still played it in the early twentieth century, and it was said to have been played during the time of the Kanem-Bornu Empire."
"Dig Dig","Dig Dig is an alignment game played by Teochew Chinese people in Malaysia during the twentieth century. One player generally plays with twigs, and the other as pieces of grass."
"Six Insect Game","The Six Insect Game, the Chinese name for which was not reported, is a capturing game played in Chengdu, China."
Damat,"Damat is a game with leaping captures played at Malacca, Malaysia by Portuguese people. "
"Mini Wars","Mini Wars is a simplified tabletop war game."
Spana,"Špana is an alignment game played in the former Yugoslavia. "
Fortresse,"Fortresse is a game played in Switzerland. It is similar to the game Asalto, but is played with fewer pieces. "
Dodekapetro,"Dodekapetro is an alignment game played in Greece."
BlooGo,"BlooGo is a Go variant inspired by the game Blooms by Nick Bentley.  In BlooGo, suicide is allowed, no passing is allowed, and the first player to capture a certain number of enemy stones wins."
Shakhmaty,"Shakhmaty is a Chess game played in Russia that developed in parallel to Chess in Westerm Europe."
"Shakhmaty (Medieval)","The version of Shakhmaty, the Chess-like capturing game of Russia, was played in the medieval period according to different rules than exist today. Though they are not completely clear, it is clear that the game existed in Russia from an early time."
"Shakhmaty (Early Modern)","This version of Shakhmaty appears during the early modern period as a method for speeding up the game. "
Korkserschach,"Korkserschach is a Chess game played in Germany until the nineteenth century. While it was played, it was considered a lesser, or unofficial, version of the game."
Welschschach,"Welschschach is a German Chess game played in the village of Ströbeck, and played by people who traveled to the village because of its reputation for Chess games."
"Shatranj al-Kabir (Constantinople)","This game, named Shatranj al-Kabir by Aminallah Abu-Rafid Muhammad Hafid, was played in Constantinople in the early nineteenth century."
"Shatranj (Algeria)","This version of Shatranj was recorded in Algiers in the early twentieth century, and combines several movement and winning rules known in other variations of the game."
"Shatranj (Egypt)","This version of Shatranj is recorded from a game played in Livorno, Italy between Francesco Piacenza and an ambassador from Egypt in the seventeenth century."
"Medieval Chess","Chess first came to Europe in the Middle Ages, but at that time it was played differently than the modern game. Its rules more closely resemble the game of Shatranj, played in West Asia and probably the inspiration for the European game. New rules for the movement of the pieces started to become popular in the fifteenth century, which transformed the game into the rules played today."
